Category,FM_Acc,Tokens_In,Tokens_Out,Cache_Read_Tokens,Cache_Write_Tokens,Thinking_Blocks,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,10,1515,0,4710,1,1525,0.06731250,15.50,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5957,0,4619,1,5967,0.17779375,70.54,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1890,0,4676,1,1900,0.07647500,25.08,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,6296,0,4589,1,6306,0.18608125,81.31,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1948,0,4703,1,1958,0.07809375,25.80,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1940,0,4604,1,1950,0.07727500,23.96,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,2678,0,4627,1,2688,0.09586875,30.51,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,3558,0,4604,1,3568,0.11772500,39.63,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,16403,0,4744,1,16413,0.43972500,199.88,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,34053,0,4670,1,34063,0.88051250,408.48,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,19369,0,4719,1,19379,0.51371875,259.79,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,4317,0,4762,1,4327,0.13768750,52.53,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,12824,0,4721,1,12834,0.35010625,157.49,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,11833,0,4643,1,11843,0.32484375,136.09,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),0,0,0,0,0,undefined,0,0.00000000,0.00,1,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,1417,0,4592,1,1427,0.06412500,15.67,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,11099,0,4919,1,11109,0.30821875,152.12,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,17082,0,4698,1,17092,0.45641250,182.23,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,3032,0,4685,1,3042,0.10508125,36.86,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,3359,0,4644,1,3369,0.11300000,30.41,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5055,0,4615,1,5065,0.15521875,65.43,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,6446,0,4667,1,6456,0.19031875,76.49,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,7667,0,4634,1,7677,0.22063750,100.35,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,9972,0,4642,1,9982,0.27831250,110.80,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,5006,0,4720,1,5016,0.15465000,58.77,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,30942,0,4677,1,30952,0.80278125,368.85,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,7253,0,4699,1,7263,0.21069375,86.69,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,27037,0,4693,1,27047,0.70525625,387.12,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),1,10,38454,0,4756,1,38464,0.99107500,500.64,0,claude-opus-4-6_thinking_enabled_120k,1
Frontier Math (AIME),0,0,0,0,0,undefined,0,0.00000000,0.00,1,claude-opus-4-6_thinking_enabled_120k,1
