Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,842,5379,0.04373500,9.44,0,claude-opus-4-6,1
Frontier Math (AIME),1,4446,1498,5944,0.05968000,15.56,0,claude-opus-4-6,1
Frontier Math (AIME),1,4503,556,5059,0.03641500,8.10,0,claude-opus-4-6,1
Frontier Math (AIME),0,4416,1237,5653,0.05300500,24.99,0,claude-opus-4-6,1
Frontier Math (AIME),1,4530,852,5382,0.04395000,8.91,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,921,5352,0.04518000,11.97,0,claude-opus-4-6,1
Frontier Math (AIME),1,4454,1145,5599,0.05089500,14.23,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1260,5691,0.05365500,13.11,0,claude-opus-4-6,1
Frontier Math (AIME),0,4571,1189,5760,0.05258000,24.88,0,claude-opus-4-6,1
Frontier Math (AIME),0,4497,1273,5770,0.05431000,19.44,0,claude-opus-4-6,1
Frontier Math (AIME),1,4546,1261,5807,0.05425500,26.33,0,claude-opus-4-6,1
Frontier Math (AIME),0,4589,1354,5943,0.05679500,17.61,0,claude-opus-4-6,1
Frontier Math (AIME),1,4548,1234,5782,0.05359000,14.64,0,claude-opus-4-6,1
Frontier Math (AIME),1,4470,5936,10406,0.17075000,68.30,0,claude-opus-4-6,1
Frontier Math (AIME),0,4640,1056,5696,0.04960000,20.07,0,claude-opus-4-6,1
Frontier Math (AIME),1,4419,777,5196,0.04152000,13.31,0,claude-opus-4-6,1
Frontier Math (AIME),0,4746,1132,5878,0.05203000,23.54,0,claude-opus-4-6,1
Frontier Math (AIME),0,4525,1352,5877,0.05642500,17.83,0,claude-opus-4-6,1
Frontier Math (AIME),1,4512,996,5508,0.04746000,14.54,0,claude-opus-4-6,1
Frontier Math (AIME),1,4471,1429,5900,0.05808000,16.58,0,claude-opus-4-6,1
Frontier Math (AIME),0,4442,1295,5737,0.05458500,19.36,0,claude-opus-4-6,1
Frontier Math (AIME),1,4494,1048,5542,0.04867000,14.54,0,claude-opus-4-6,1
Frontier Math (AIME),0,4461,4635,9096,0.13818000,50.89,0,claude-opus-4-6,1
Frontier Math (AIME),1,4469,1233,5702,0.05317000,16.18,0,claude-opus-4-6,1
Frontier Math (AIME),0,4547,1616,6163,0.06313500,25.91,0,claude-opus-4-6,1
Frontier Math (AIME),1,4504,1359,5863,0.05649500,20.07,0,claude-opus-4-6,1
Frontier Math (AIME),0,4526,1416,5942,0.05803000,23.24,0,claude-opus-4-6,1
Frontier Math (AIME),1,4520,1328,5848,0.05580000,24.32,0,claude-opus-4-6,1
Frontier Math (AIME),0,4583,1123,5706,0.05099000,18.18,0,claude-opus-4-6,1
Frontier Math (AIME),0,4575,1150,5725,0.05162500,16.89,0,claude-opus-4-6,1
