Category,FM_Acc,Tokens_In,Tokens_Out,Thinking_Blocks,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,1614,1,6151,0.06303500,18.56,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4446,5873,1,10319,0.16905500,59.38,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4503,1878,1,6381,0.06946500,23.70,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4416,7307,1,11723,0.20475500,79.52,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4530,1902,1,6432,0.07020000,22.22,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4431,2825,1,7256,0.09278000,28.67,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4454,3246,1,7700,0.10342000,31.02,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4431,3268,1,7699,0.10385500,30.41,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4571,24204,1,28775,0.62795500,255.94,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4497,32000,1,36497,0.82248500,311.98,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4546,32000,1,36546,0.82273000,445.44,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4589,7526,1,12115,0.21109500,93.70,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4548,15853,1,20401,0.41906500,194.87,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4470,16195,1,20665,0.42722500,184.63,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4640,32000,1,36640,0.82320000,396.72,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4419,1477,1,5896,0.05902000,19.12,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4746,32000,1,36746,0.82373000,373.76,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4525,14951,1,19476,0.39640000,194.77,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4512,4261,1,8773,0.12908500,49.04,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4471,4414,1,8885,0.13270500,50.58,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4442,7907,1,12349,0.21988500,85.61,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4494,3738,1,8232,0.11592000,39.42,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4461,17717,1,22178,0.46523000,207.42,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4469,8153,1,12622,0.22617000,75.72,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4547,6232,1,10779,0.17853500,77.14,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4504,22256,1,26760,0.57892000,274.50,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4526,8850,1,13376,0.24388000,98.10,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4520,32000,1,36520,0.82260000,402.54,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4583,32000,1,36583,0.82291500,414.63,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4575,32000,1,36575,0.82287500,393.00,0,claude-opus-4-6_adaptive_high,1
