Category,FM_Acc,Tokens_In,Tokens_Out,Thinking_Blocks,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,2287,1,6824,0.07986000,25.85,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4446,6697,1,11143,0.18965500,67.48,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4503,3278,1,7781,0.10446500,42.70,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4416,6476,1,10892,0.18398000,72.91,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4530,1870,1,6400,0.06940000,20.94,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4431,4818,1,9249,0.14260500,46.03,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4454,4281,1,8735,0.12929500,38.91,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4431,4219,1,8650,0.12763000,39.42,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4571,17205,1,21776,0.45298000,179.61,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4497,26936,1,31433,0.69588500,262.36,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4546,28554,1,33100,0.73658000,383.79,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4589,8531,1,13120,0.23622000,105.57,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4548,19849,1,24397,0.51896500,241.87,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4470,9454,1,13924,0.25870000,106.29,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4640,32000,1,36640,0.82320000,405.21,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4419,2003,1,6422,0.07217000,25.53,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4746,19216,1,23962,0.50413000,215.41,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4525,16022,1,20547,0.42317500,199.27,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4512,3592,1,8104,0.11236000,44.42,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4471,2866,1,7337,0.09400500,30.44,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4442,5004,1,9446,0.14731000,55.19,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4494,6530,1,11024,0.18572000,87.66,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4461,11630,1,16091,0.31305500,132.20,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4469,10347,1,14816,0.28102000,128.51,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4547,6400,1,10947,0.18273500,78.23,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4504,32000,1,36504,0.82252000,396.38,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),1,4526,7882,1,12408,0.21968000,90.09,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4520,32000,1,36520,0.82260000,411.60,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4583,32000,1,36583,0.82291500,421.69,0,claude-opus-4-6_adaptive_high,1
Frontier Math (AIME),0,4575,32000,1,36575,0.82287500,415.40,0,claude-opus-4-6_adaptive_high,1
