Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,941,5478,0.04621000,11.92,0,claude-opus-4-6,1
Frontier Math (AIME),1,4446,1485,5931,0.05935500,20.37,0,claude-opus-4-6,1
Frontier Math (AIME),1,4503,861,5364,0.04404000,12.59,0,claude-opus-4-6,1
Frontier Math (AIME),0,4416,1183,5599,0.05165500,18.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4530,844,5374,0.04375000,11.01,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,962,5393,0.04620500,13.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4454,1110,5564,0.05002000,13.72,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1145,5576,0.05078000,12.59,0,claude-opus-4-6,1
Frontier Math (AIME),0,4571,1243,5814,0.05393000,18.95,0,claude-opus-4-6,1
Frontier Math (AIME),0,4497,1444,5941,0.05858500,18.02,0,claude-opus-4-6,1
Frontier Math (AIME),0,4546,1213,5759,0.05305500,19.73,0,claude-opus-4-6,1
Frontier Math (AIME),0,4589,1366,5955,0.05709500,18.50,0,claude-opus-4-6,1
Frontier Math (AIME),0,4548,1336,5884,0.05614000,18.29,0,claude-opus-4-6,1
Frontier Math (AIME),0,4470,1442,5912,0.05840000,17.40,0,claude-opus-4-6,1
Frontier Math (AIME),0,4640,1146,5786,0.05185000,23.56,0,claude-opus-4-6,1
Frontier Math (AIME),1,4419,818,5237,0.04254500,11.16,0,claude-opus-4-6,1
Frontier Math (AIME),0,4746,1103,5849,0.05130500,20.77,0,claude-opus-4-6,1
Frontier Math (AIME),0,4525,1348,5873,0.05632500,18.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4512,970,5482,0.04681000,13.83,0,claude-opus-4-6,1
Frontier Math (AIME),1,4471,1294,5765,0.05470500,15.15,0,claude-opus-4-6,1
Frontier Math (AIME),1,4442,1203,5645,0.05228500,16.57,0,claude-opus-4-6,1
Frontier Math (AIME),1,4494,1084,5578,0.04957000,14.96,0,claude-opus-4-6,1
Frontier Math (AIME),1,4461,3624,8085,0.11290500,39.38,0,claude-opus-4-6,1
Frontier Math (AIME),1,4469,1234,5703,0.05319500,16.22,0,claude-opus-4-6,1
Frontier Math (AIME),1,4547,1030,5577,0.04848500,13.10,0,claude-opus-4-6,1
Frontier Math (AIME),1,4504,1313,5817,0.05534500,21.09,0,claude-opus-4-6,1
Frontier Math (AIME),0,4526,1529,6055,0.06085500,24.88,0,claude-opus-4-6,1
Frontier Math (AIME),1,4520,1237,5757,0.05352500,23.04,0,claude-opus-4-6,1
Frontier Math (AIME),0,4583,1004,5587,0.04801500,16.79,0,claude-opus-4-6,1
Frontier Math (AIME),0,4575,1303,5878,0.05545000,17.92,0,claude-opus-4-6,1
